"id","TCaCO3","TC_CaCO3","TC_CHN","TOC_CHN","TOC_re6","Cstable_TOC_re6_ratio","Cstable_re6_corrCHN","Cactive_AMG_re6_corrCHN","clay_sed","sand_sed","fine_medium_silt_sed","coarse_silt_sed","texture_class"
18054,1,0.1200025977399662,10.7,10.57999740226003,7.56,0.6486,6.862186315105856,3.717811087154175,117.4,586.4,149.1,147.1,"sandy_loam"
18052,1,0.1200025977399662,16.7,16.57999740226003,12.8,0.5343,8.858692612027534,7.721304790232496,196.3,342.8,255.7,205.1,"loam"
18055,1,0.1200025977399662,13.4,13.27999740226003,10.88,0.4589,6.094190807897127,7.185806594362902,124.5,553.4,179.5,142.6,"sandy_loam"
18053,1,0.1200025977399662,14.6,14.47999740226003,8.93,0.6088,8.815422418495906,5.664574983764123,164.3,337.6,273.1,225,"loam"
18063,1,0.1200025977399662,15.6,15.47999740226003,10.29,0.6308,9.764782361345627,5.715215040914403,219.7,369.7,199.1,211.4,"loam"
23928,295,35.40076633329004,46.645,11.24423366670997,12.01,0.7575,8.517507002532803,2.726726664177168,452.8,240.8,221.6,84.8,"clay"
23929,210,25.20054552539291,42.915,17.71445447460709,16.67,0.5808,10.2885551588518,7.425899315755293,371.1,77.3,412.8,138.7,"silty_clay_loam"
18173,35,4.200090920898818,24.5,20.29990907910118,17.5,0.5871,11.9180766203403,8.381832458760877,275,209.9,305.4,209.6,"clay_loam"
18171,47,5.640122093778412,25.1,19.45987790622159,17.24,0.5401,10.51028005715028,8.949597849071308,287.5,52.7,376.1,283.6,"silty_clay_loam"
18161,38,4.560098714118717,22.1,17.53990128588129,15.76,0.5478,9.60835792440577,7.931543361475519,317.5,213.3,265.7,203.5,"clay_loam"
18160,55,6.600142875698142,24.5,17.89985712430186,16.25,0.5748,10.28883787504871,7.611019249253151,384.6,52.2,354.6,208.5,"silty_clay_loam"
18169,2,0.2400051954799325,16.9,16.65999480452007,15.49,0.4908,8.17672545005845,8.483269354461621,510,88.6,252.7,148.7,"silty_clay"
18587,113,13.56029354461618,39,25.43970645538381,21.57,0.5331,13.56190751136511,11.8777989440187,646.3,46,233.8,73.9,"clay"
18589,2,0.2400051954799325,18.9,18.65999480452007,17.05,0.5406,10.08759319132355,8.572401613196522,336.2,176.5,294.5,192.7,"silty_clay_loam"
23967,1,0.1200025977399662,15.5,15.37999740226003,13.07,0.5546,8.529746559293413,6.850250842966617,161.3,36.3,280.3,522,"silt_loam"
18609,2,0.2400051954799325,17,16.75999480452007,11.88,0.611,10.24035682556176,6.519637978958307,347.1,25.2,302.5,325.1,"silty_clay_loam"
22914,61,7.32015846213794,30.5,23.17984153786206,19.25,0.5315,12.32008577737368,10.85975576048838,479.8,361,131.6,27.6,"clay"
18607,37,4.440096116378751,21.9,17.45990388362125,15.46,0.5644,9.854369751915835,7.605534131705417,358,74.3,301.6,266.1,"silty_clay_loam"
22918,194,23.28050396155345,51.5,28.21949603844655,25.56,0.4906,13.84448475646188,14.37501128198467,389.3,330,248.7,32,"loam"
22915,4,0.4800103909598649,16.6,16.11998960904014,14.39,0.518,8.350154617482792,7.769834991557347,264.7,605.4,105.3,24.7,"sandy_clay_loam"
18605,49,5.880127289258345,19.7,13.81987271074165,12.84,0.5644,7.799936157942588,6.019936552799063,391.6,50,297.5,261,"silty_clay_loam"
18619,49,5.880127289258345,20.6,14.71987271074166,12.86,0.5662,8.334391928821928,6.385480781919732,381.5,47.2,301.2,270,"silty_clay_loam"
22913,3,0.3600077932198987,9.3,8.939992206780103,8.2,0.6495,5.806524938303676,3.133467268476426,130.1,756,80.7,33.2,"loamy_sand"
22916,1,0.1200025977399662,10.1,9.979997402260034,8.84,0.687,6.856258215352644,3.12373918690739,191.4,694.6,88.9,25.2,"sandy_loam"
24182,2,0.2400051954799325,11.9,11.65999480452007,10.5,0.6333,7.384274709702559,4.27572009481751,156,46.4,241.5,556,"silt_loam"
24184,1,0.1200025977399662,14.5,14.37999740226003,13.1,0.5725,8.232548512793867,6.147448889466163,180.5,61.2,227.3,531.1,"silt_loam"
24185,1,0.1200025977399662,18.3,18.17999740226004,16.09,0.5199,9.451780649434994,8.728216752825045,225.5,64.7,245.8,464.1,"silt_loam"
24190,2,0.2400051954799325,13.6,13.35999480452007,12.04,0.5879,7.854340945577349,5.505653858942721,177.8,58.3,254.1,509.7,"silt_loam"
24195,2,0.2400051954799325,11.9,11.65999480452007,10.69,0.6196,7.224532780880636,4.435462023639434,169.2,44.9,228.6,557.3,"silt_loam"
24199,1,0.1200025977399662,16,15.87999740226003,14.12,0.537,8.527558605013636,7.352438797246393,194.3,51,238,516.7,"silt_loam"
24224,158,18.96041044291466,32.4,13.43958955708533,13.51,0.6793,9.129513186128065,4.310076370957265,454.5,231.7,214.9,99,"clay"
24229,178,21.36046239771399,47.9,26.53953760228601,25.99,0.502,13.32284787634758,13.21668972593843,410.2,63.4,424,102.4,"silty_clay"
24233,10,1.200025977399662,21.2,19.99997402260034,13.9,0.6234000000000001,12.46798380568905,7.531990216911288,253.7,431.6,152.4,162.3,"loam"
24256,383,45.96099493440707,66.7,20.73900506559293,18.8,0.5619,11.65324694635667,9.085758119236264,412.3,52.8,449.2,85.7,"silty_clay"
24231,239,28.68062085985193,43.8,15.11937914014807,15.63,0.6386999999999999,9.656747456812571,5.462631683335498,497.7,88.5,343.7,70.1,"silty_clay"
24253,364,43.68094557734771,62.8,19.11905442265229,20.19,0.5257000000000001,10.05088690998831,9.06816751266398,483.2,39.7,381.8,95.3,"silty_clay"
24255,493,59.16128068580335,77.9,18.73871931419666,18.52,0.5195000000000001,9.734764683725167,9.003954630471494,504.8,61.4,383.4,50.4,"silty_clay"
24243,270,32.40070138979088,46.434,14.03329861020912,12.79,0.7422,10.41551422849721,3.617784381711912,350.2,53.2,477.1,119.5,"silty_clay_loam"
24238,267,32.04069359657098,44.8,12.75930640342902,12.07,0.7240000000000001,9.237737836082612,3.521568567346408,463.7,67.2,372,97,"silty_clay"
24239,175,21.00045460449409,37.2,16.19954539550591,13.95,0.6605,10.69979973373165,5.499745661774257,421.8,76.7,374.1,127.3,"silty_clay"
24241,13,1.560033770619561,19.3,17.73996622938044,16.09,0.5791,10.27321444343421,7.466751785946228,381.1,420.3,124.8,73.7,"clay_loam"
24242,20,2.400051954799324,14,11.59994804520068,9.68,0.6678000000000001,7.746445304585015,3.853502740615665,193,700.4,59.7,46.9,"sandy_loam"
24245,536,64.3213923886219,87.7,23.3786076113781,21.68,0.4963,11.60280295752695,11.77580465385115,469.5,105.1,334.3,91.2,"silty_clay"
24246,545,65.4014157682816,84.9,19.49858423171841,19.64,0.5154,10.04957031302767,9.449013918690742,523.1,68,321.8,87.1,"silty_clay"
24247,637,76.44165476035849,95.7,19.25834523964151,14.78,0.6434000000000001,12.39081932718535,6.867525912456161,571.5,126.7,161.7,140.1,"clay"
24248,624,74.88162098973893,88.2,13.31837901026107,14.74,0.542,7.218561423561501,6.09981758669957,645,72.2,188.5,94.3,"clay"
24249,538,64.56139758410183,81.3,16.73860241589817,19.11,0.5313,8.893219463566698,7.845382952331473,572.5,69.5,256.6,101.3,"clay"
24270,636,76.32165216261852,93.9,17.57834783738149,11.83,0.7097,12.47535346018964,5.102994377191846,500.7,109,286.5,103.8,"clay"
24272,518,62.16134562930251,82.8,20.63865437069749,19.76,0.5256000000000001,10.8476767372386,9.790977633458889,524,62.4,306.4,107.1,"silty_clay"
24274,470,56.40122093778412,80.9,24.49877906221588,24.55,0.4926,12.06809856604754,12.43068049616834,553.6,59.6,324.9,61.9,"clay"
24285,520,62.40135082478244,84.31,21.90864917521756,21.95,0.5104,11.18217453903104,10.72647463618652,582.8,95.8,252.9,68.4,"clay"
24269,512,61.44133004286271,82.5,21.05866995713729,22.25,0.5009,10.54828778153007,10.51038217560722,476.9,95.5,319.9,107.7,"silty_clay"
24260,144,17.28037407455514,34,16.71962592544486,15.34,0.6269,10.48153349266138,6.238092432783477,428.6,235.1,253.7,82.6,"clay"
24261,186,22.32048317963372,47.1,24.77951682036628,23.79,0.5153,12.76888501753474,12.01063180283154,342.7,65.8,500.4,91,"silty_clay_loam"
24262,221,26.52057410053254,44.4,17.87942589946746,17.23,0.5982,10.69547257306143,7.183953326406026,360.3,90,452,97.8,"silty_clay_loam"
24263,12,1.440031172879595,17.6,16.15996882712041,14.45,0.5688,9.191790268866088,6.968178558254321,272,407.8,155.9,164.3,"loam"
24264,261,31.32067801013119,45.1,13.77932198986882,13.85,0.6555,9.03234556435901,4.746976425509809,377,70.1,444.5,108.3,"silty_clay_loam"
24265,153,18.36039745421483,33.3,14.93960254578516,15,0.6670999999999999,9.966208858293278,4.973393687491881,402,69.5,402.7,125.9,"silty_clay_loam"
24266,13,1.560033770619561,17.5,15.93996622938044,15.33,0.6003000000000001,9.56876172749708,6.371204501883361,388.3,428.6,113.3,69.8,"clay_loam"
24267,21,2.520054552539291,16.9,14.37994544746071,12.61,0.5654,8.130421155994286,6.249524291466424,203,690.8,53.6,52.6,"sandy_loam"
24268,519,62.28134822704247,90.6,28.31865177295752,26.87,0.4771,13.51082876087803,14.80782301207948,420.2,106.3,369.6,103.9,"silty_clay"
24271,593,71.16154045979998,87.7,16.53845954020002,15.79,0.5389,8.912575846213791,7.625883693986228,512.7,67,332.9,87.3,"silty_clay"
24273,370,44.40096116378751,63.5,19.09903883621249,18.63,0.5483,10.47200299389531,8.62703584231718,457.3,33.2,444.7,64.9,"silty_clay"
24275,387,46.44100532536693,69.5,23.05899467463307,21.99,0.5119,11.80389937394467,11.2550953006884,427.8,56.2,437.7,78.3,"silty_clay"
24276,147,17.64038186777504,30.2,12.55961813222496,12.49,0.7391,9.282813761527468,3.276804370697493,478.9,265.1,168.2,87.8,"clay"
24277,159,19.08041304065463,45.2,26.11958695934537,24.76,0.523,13.66054397973763,12.45904297960774,421.6,71,425,82.4,"silty_clay"
24278,197,23.64051175477335,40,16.35948824522665,16.1,0.6416,10.49624765813742,5.863240587089233,345.6,92,462.8,99.6,"silty_clay_loam"
24279,12,1.440031172879595,17,15.55996882712041,13.39,0.635,9.880580205221461,5.67938862189895,284.7,373,160.6,181.7,"loam"
24280,266,31.92069099883102,45.7,13.77930900116899,14.17,0.6548999999999999,9.02406946486557,4.755239536303419,314.3,67.1,510.3,108.3,"silty_clay_loam"
24281,169,20.28043901805429,36.71,16.42956098194571,15.73,0.6415000000000001,10.53956336991817,5.889997612027535,426.6,72.4,373.8,127.2,"silty_clay"
24282,8,0.9600207819197298,18.56,17.59997921808027,15.31,0.6108,10.75006730640343,6.849911911676841,400.2,412.5,106.2,81.1,"clay_loam"
24283,18,2.160046759319392,10.59,8.429953240680607,7.52,0.7519,6.338481841667749,2.091471399012859,191.6,693.3,51.8,63.3,"sandy_loam"
24284,505,60.60131185868295,88.19,27.58868814131705,27.08,0.4704,12.97771890167554,14.61096923964151,474.6,110.6,319.8,95,"silty_clay"
24286,612,73.44158981685933,93.09,19.64841018314067,12.65,0.7172,14.09183978334849,5.556570399792182,413.9,103.8,340.6,141.7,"silty_clay"
