"sample_id","TN_CHN","TC_CHN"
25156,1.4,12.1
25966,1.6,27.3
28040,1.5,13.8
5415,2,20.9
5498,2.4,50.2
11121,2.4,82.5
26914,0.6,5.99
26555,2.5,65.2
23929,2.413,42.915
24371,2.74,43.49
30323,0.82,9.11
30366,1.9,72
24269,2.4,82.5
24271,1.9,87.7
27881,1.1,10.2
11125,2.6,70.4
11128,1.4,14.5
24324,1.7,40.4
24329,1.427,47.049
26006,1.6,74.5
9689,2.8,48.7
9696,4.1,37.2
24409,2.231,29.952
24410,1.543,66.726
26008,2,88.6
24411,2.158,92.147
24412,2.414,56.39
30518,2.1,64.5
30521,2.8,52.7
23956,1.3,14.1
23959,1.3,15
25082,1.15,80.75
25083,1.4,66.4
28483,0.79,9.55
23961,1.2,10.9
10939,1.5,14.2
11028,1.5,16.9
26019,1.4,62.4
26027,1.7,27
28484,0.88,11.8
25979,2.1,37
25982,2.7,33
30555,3.7,46.2
30573,2.4,83.2
30574,2.1,79.4
5933,2.9,29.5
5940,3.3,35
25987,0.69,8.54
25998,1.4,92.7
26108,0.99,9.93
26031,2.1,80.4
26110,2.4,41.8
26158,1.7,53.8
26159,2,53.5
26036,1.8,66.5
30519,2.1,65.5
30520,2.1,69.8
30522,2.9,54.2
26042,1.4,76.1
26047,1.3,81.3
26855,0.81,11.8
29017,1.5,16.2
26075,1.9,91
26087,1.7,75.5
26090,1.9,72.6
26091,2.1,55.3
26094,1.8,74.7
26098,2.5,34
26099,1.9,24.5
26126,2.5,78.7
26127,3.3,86.3
11066,1.3,72.2
24383,1.68,79.24
26134,2.6,37.2
26135,2.1,31.8
18305,3.8,37.3
26139,2,38.5
11698,1.9,19.8
24355,1.86,50.83
26149,1.9,29.5
30126,2.7,31.9
23280,1.6,21.5
26155,1.7,93.5
26970,3.2,66.2
28618,1.4,11.6
30224,2.4,96.1
30228,2.1,39.3
25166,2.8,35.2
26162,1.4,55.3
26288,1.8,21
27304,1.1,14.2
27487,1,12.3
28621,1.5,13.5
25162,2.2,30.5
25193,1.7,19.3
26164,2.7,93.5
29307,1.3,11.2
30249,1.7,64.3
30250,1.9,66.9
23270,2.2,16.7
26165,2.3,72.5
28625,1.4,10.1
30252,2.4,105
30254,2.5,113
25196,2.2,55.8
26173,1.8,71.2
30255,2.7,113
30257,2.5,85.2
22339,1.4,15.2
25197,3.1,58.4
26187,1.6,58.8
26300,1.2,20.1
28944,0.87,9.17
22706,1.3,13.3
25204,2.2,65
25206,2.1,47.5
29501,2.1,27.4
29893,0.98,10.4
29894,1,10.5
22918,3.2,51.5
25835,1.1,12.3
27024,3.5,49.4
29306,0.97,11.2
29794,0.84,10.7
25190,0.5,13
30268,1.4,40.5
30402,2,54.9
30411,2,56.7
30426,2.3,59.3
25210,1.9,46.6
29890,0.99,10.3
30415,2.2,73.5
30103,1.1,30.1
30294,1.9,107
30295,2,84.4
30456,1.3,22.3
23171,1.3,15
23283,1.7,17.9
25252,2.2,47.7
25847,0.9,45
25892,1.3,20
30296,1.8,90.9
30503,3,31.9
25347,2.5,52.2
25348,2.2,39.5
26380,0.78,33.9
30339,2.1,92.5
23262,0.9,8.3
23264,0.8,8.6
23265,1.4,12.7
26384,1.3,35.7
30340,2.1,115
30517,2.5,69.7
18536,1.8,20
23266,1.5,13.6
23267,1.7,15.4
25572,1.7,38.4
25599,3.6,55.1
22914,2.5,30.5
24185,1.9,18.3
25805,2.7,50.1
26313,1.8,25.8
26743,1.3,11.8
30531,1.8,63.2
26960,2.8,56.6
28147,2.1,18.7
29742,1.9,62.5
30533,1.7,26.5
30550,0.94,10.5
17995,1.7,24
28335,3,32.1
29106,2.5,32
30552,1.7,70.7
30554,2.4,33.8
17999,2.3,35.2
23293,1.3,12.4
26297,0.94,40.7
29737,0.6,8.62
26314,1.7,24
