Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
SOIL_11092;466.00;508.00;348.00;397.00;450.00;513.00;481.00;429.00;479.00;539.00;0.06;1.69;0.65;205.15;197.53;70.70;184.06;1.11;2.62;0.26;9.94;340.00;399.00;1.69;3.39;57.45;42.55;27.41;
SOIL_11095;470.00;518.00;357.00;410.00;465.00;524.00;487.00;439.00;497.00;547.00;0.14;3.17;0.58;178.67;240.99;71.41;216.07;0.83;5.46;0.26;21.40;340.00;397.00;3.17;8.22;51.89;48.11;33.04;
SOIL_11096;461.00;524.00;350.00;400.00;453.00;517.00;490.00;431.00;482.00;540.00;0.05;0.80;0.49;130.94;232.96;85.99;218.56;0.60;1.63;0.22;7.38;324.00;380.00;0.80;2.40;72.15;27.85;29.14;
SOIL_11100;464.00;526.00;346.00;393.00;445.00;512.00;475.00;425.00;474.00;535.00;0.06;1.28;0.53;141.49;219.33;78.08;204.13;0.69;2.41;0.22;10.91;324.00;380.00;1.28;3.34;60.06;39.94;18.90;
SOIL_11101;464.00;526.00;346.00;392.00;444.00;511.00;469.00;422.00;472.00;534.00;0.06;1.51;0.56;152.88;208.63;74.00;194.02;0.79;2.69;0.23;11.91;323.00;377.00;1.51;3.64;57.37;42.63;21.81;
SOIL_11102;464.00;527.00;345.00;392.00;444.00;511.00;475.00;424.00;474.00;534.00;0.07;1.44;0.54;146.04;214.44;75.12;198.88;0.73;2.65;0.22;11.90;322.00;377.00;1.44;3.59;58.93;41.07;19.92;
SOIL_11103;463.00;524.00;346.00;392.00;443.00;510.00;471.00;423.00;472.00;534.00;0.06;1.62;0.56;151.63;208.00;75.63;194.49;0.78;2.90;0.23;12.89;323.00;377.00;1.62;3.88;54.59;45.41;18.11;
SOIL_11104;463.00;521.00;344.00;390.00;442.00;509.00;465.00;421.00;468.00;533.00;0.07;1.90;0.58;158.92;207.63;70.98;191.56;0.83;3.30;0.23;14.44;324.00;377.00;1.90;4.38;51.00;49.00;19.60;
SOIL_11105;465.00;526.00;348.00;395.00;447.00;513.00;479.00;426.00;478.00;537.00;0.07;1.66;0.55;150.61;222.78;77.47;206.29;0.73;3.03;0.23;13.25;326.00;381.00;1.66;4.25;54.92;45.08;17.38;
SOIL_11105BIS;466.00;528.00;348.00;395.00;448.00;513.00;481.00;427.00;479.00;538.00;0.07;1.63;0.55;150.88;223.14;74.66;204.95;0.74;2.97;0.23;13.04;326.00;381.00;1.63;4.16;55.16;44.84;16.73;
SOIL_11107;462.00;505.00;342.00;388.00;439.00;506.00;419.00;410.00;449.00;521.00;0.10;5.26;0.73;262.04;183.99;53.52;164.39;1.59;7.23;0.30;24.18;326.00;377.00;5.26;8.74;45.19;54.81;33.59;
SOIL_11329;467.00;517.00;347.00;397.00;451.00;515.00;456.00;426.00;478.00;536.00;0.18;5.24;0.60;188.91;235.44;69.31;210.83;0.90;8.67;0.26;33.44;330.00;387.00;5.24;11.72;46.68;53.32;31.52;
SOIL_11330;467.00;517.00;344.00;394.00;448.00;515.00;450.00;429.00;480.00;539.00;0.22;7.24;0.62;192.91;221.50;66.46;199.07;0.97;11.67;0.26;45.25;324.00;383.00;7.24;15.37;44.55;55.45;35.19;
SOIL_11331;474.00;526.00;352.00;403.00;457.00;519.00;467.00;427.00;485.00;539.00;0.15;2.61;0.52;154.54;282.31;71.16;245.98;0.63;5.00;0.25;20.37;347.00;401.00;2.61;7.54;55.88;44.12;30.44;
SOIL_11332;467.00;516.00;344.00;393.00;446.00;513.00;454.00;424.00;473.00;535.00;0.20;6.94;0.63;203.58;224.00;66.24;200.76;1.01;10.95;0.27;41.10;323.00;381.00;6.94;14.27;44.79;55.21;35.43;
SOIL_11334;471.00;521.00;350.00;400.00;454.00;517.00;467.00;428.00;484.00;539.00;0.17;4.20;0.58;176.68;247.93;66.08;218.07;0.81;7.20;0.25;28.61;341.00;397.00;4.20;10.10;48.08;51.92;27.21;
SOIL_11338;473.00;524.00;348.00;399.00;453.00;517.00;475.00;431.00;484.00;539.00;0.18;5.23;0.61;193.25;233.07;67.53;208.09;0.93;8.51;0.26;32.60;335.00;394.00;5.23;11.64;46.02;53.98;29.93;
SOIL_11339;472.00;523.00;350.00;401.00;456.00;519.00;462.00;425.00;481.00;535.00;0.18;3.83;0.57;179.10;266.89;65.00;231.24;0.77;6.69;0.26;25.77;341.00;397.00;3.83;9.81;49.02;50.98;27.11;
SOIL_11340;470.00;520.00;347.00;397.00;451.00;515.00;453.00;423.00;477.00;534.00;0.16;3.80;0.57;169.93;253.50;67.34;222.84;0.76;6.69;0.25;26.95;339.00;394.00;3.80;9.35;50.46;49.54;27.16;
SOIL_11341;464.00;515.00;345.00;395.00;446.00;511.00;453.00;420.00;469.00;534.00;0.14;2.48;0.52;158.07;285.55;77.17;251.77;0.63;4.76;0.25;18.92;325.00;384.00;2.48;6.70;55.16;44.84;28.03;
SOIL_11353;476.00;530.00;361.00;416.00;473.00;530.00;489.00;434.00;492.00;552.00;0.10;1.83;0.54;162.03;268.40;69.19;234.74;0.69;3.41;0.25;13.62;341.00;396.00;1.83;6.04;61.37;38.63;31.89;
SOIL_11354;463.00;522.00;351.00;404.00;457.00;519.00;444.00;415.00;471.00;532.00;0.12;2.11;0.47;145.03;337.56;75.18;288.46;0.50;4.48;0.26;17.55;335.00;390.00;2.11;7.13;56.98;43.02;31.81;
